chu_name,,Round,Setting,safe_water_pct,latrine_access_pct,flood_freq_pct,elevation_m,tree_cover_pct,shrubland_pct,grassland_pct,cropland_pct,builtup_pct,bare_sparse_pct,rwi
Tsangatsini,,4,Rural,0.6,33.1,0.708056,205.6291009,3.584,50.1,45.366,0.758,0.117,0.072,-0.399493
Tsangatsini,,5,Rural,0.3,26.7,8.767148,205.6291009,3.584,50.1,45.366,0.758,0.117,0.072,-0.399493
Tsangatsini,,6,Rural,0.6,29.2,2.453317,205.6291009,3.584,50.1,45.366,0.758,0.117,0.072,-0.399493
Tsangatsini,,8,Rural,1.6,26.7,3.27636,205.6291009,3.584,50.1,45.366,0.758,0.117,0.072,-0.399493
Tsangatsini,,10,Rural,0.6,25.7,7.904676,205.6291009,3.584,50.1,45.366,0.758,0.117,0.072,-0.399493
Tsangatsini,,12,Rural,2.4,20.3,12.531523,205.6291009,3.584,50.1,45.366,0.758,0.117,0.072,-0.399493
Tsangatsini,,14,Rural,30.5,29.3,1.987835,205.6291009,3.584,50.1,45.366,0.758,0.117,0.072,-0.399493
Tsangatsini,,16,Rural,14.3,32.3,6.828148,205.6291009,3.584,50.1,45.366,0.758,0.117,0.072,-0.399493
Viragoni,,1,Rural,28,49.5,12.868251,241.3193688,8.403,52.735,37.777,1.011,0.035,0.032,-0.309329
Viragoni,,2,Rural,0.9,37.1,0.585477,241.3193688,8.403,52.735,37.777,1.011,0.035,0.032,-0.309329
Viragoni,,3,Rural,6.3,31.7,0.52343,241.3193688,8.403,52.735,37.777,1.011,0.035,0.032,-0.309329
Viragoni,,4,Rural,4.8,41.8,0.12097,241.3193688,8.403,52.735,37.777,1.011,0.035,0.032,-0.309329
Viragoni,,5,Rural,0.5,41.4,1.304614,241.3193688,8.403,52.735,37.777,1.011,0.035,0.032,-0.309329
Viragoni,,6,Rural,0.3,43.1,0.460435,241.3193688,8.403,52.735,37.777,1.011,0.035,0.032,-0.309329
Viragoni,,8,Rural,0.3,38.5,0.222019,241.3193688,8.403,52.735,37.777,1.011,0.035,0.032,-0.309329
Viragoni,,10,Rural,0.7,86.2,2.558854,241.3193688,8.403,52.735,37.777,1.011,0.035,0.032,-0.309329
Viragoni,,12,Rural,1.8,73.4,1.875371,241.3193688,8.403,52.735,37.777,1.011,0.035,0.032,-0.309329
Viragoni,,14,Rural,2,63,0.168,241.3193688,8.403,52.735,37.777,1.011,0.035,0.032,-0.309329
Viragoni,,16,Rural,15.7,58.4,1.727525,241.3193688,8.403,52.735,37.777,1.011,0.035,0.032,-0.309329
Vishakani,,1,Peri-Urban,45.9,69.7,0.032135,207.5979699,35.875,20.692,35.425,4.161,3.792,0.055,0.455798
Vishakani,,2,Peri-Urban,68.1,72.2,0.019291,207.5979699,35.875,20.692,35.425,4.161,3.792,0.055,0.455798
Vishakani,,3,Peri-Urban,67.9,89,0.036177,207.5979699,35.875,20.692,35.425,4.161,3.792,0.055,0.455798
Vishakani,,4,Peri-Urban,72.3,95.3,0.194327,207.5979699,35.875,20.692,35.425,4.161,3.792,0.055,0.455798
Vishakani,,5,Peri-Urban,70.4,94.6,0.024569,207.5979699,35.875,20.692,35.425,4.161,3.792,0.055,0.455798
Vishakani,,6,Peri-Urban,73.7,94.7,0.034762,207.5979699,35.875,20.692,35.425,4.161,3.792,0.055,0.455798
Vishakani,,8,Peri-Urban,69.1,95.5,0.201249,207.5979699,35.875,20.692,35.425,4.161,3.792,0.055,0.455798
Vishakani,,10,Peri-Urban,75.9,96.8,4.43919,207.5979699,35.875,20.692,35.425,4.161,3.792,0.055,0.455798
Vishakani,,12,Peri-Urban,74.6,96.1,1.714528,207.5979699,35.875,20.692,35.425,4.161,3.792,0.055,0.455798
Vishakani,,14,Peri-Urban,70.8,96.9,0.183487,207.5979699,35.875,20.692,35.425,4.161,3.792,0.055,0.455798
Vishakani,,16,Peri-Urban,74.2,96.1,1.054259,207.5979699,35.875,20.692,35.425,4.161,3.792,0.055,0.455798
